,content,content_count_comma,content_count_period,content_count_space,content_count_tap,content_len,label,origin_text,relative_position,same_tag_count,xpath,xpath_last,xpath_len,xpath_list
0,哄好你的审美 自主品牌原创设计SUV推荐,0,0,1,0,20,0,"<h1>&#21700;&#22909;&#20320;&#30340;&#23457;&#32654; &#33258;&#20027;&#21697;&#29260;&#21407;&#21019;&#35774;&#35745;SUV&#25512;&#33616;</h1>
        ",0.025806452,4,/html/body/div/div[2]/div[1]/h1,0,6,"['html', 'body', 'div', 'div[2]', 'div[1]', 'h1']"
1,　　深夜食堂播完了，这部在豆瓣评分2.7的翻拍剧想必大家都有所关注，全套照搬原版的做法让它广受热议。曾经，我国的自主汽车品牌也深陷抄袭的泥潭，好在近年越来越多的自主品牌都慢慢走上了原创设计的道路。今天为大家列举的几款SUV就是原创设计中比较出彩的车型，它们有的是还未上市的新车，有的是已经热销了一阵子的老将，但在设计方面绝对都是实力派。,7,3,0,0,166,1,"<p class=""one-p"">&#12288;&#12288;&#28145;&#22812;&#39135;&#22530;&#25773;&#23436;&#20102;&#65292;&#36825;&#37096;&#22312;&#35910;&#29923;&#35780;&#20998;2.7&#30340;&#32763;&#25293;&#21095;&#24819;&#24517;&#22823;&#23478;&#37117;&#26377;&#25152;&#20851;&#27880;&#65292;&#20840;&#22871;&#29031;&#25644;&#21407;&#29256;&#30340;&#20570;&#27861;&#35753;&#23427;&#24191;&#21463;&#28909;&#35758;&#12290;&#26366;&#32463;&#65292;&#25105;&#22269;&#30340;&#33258;&#20027;&#27773;&#36710;&#21697;&#29260;&#20063;&#28145;&#38519;&#25220;&#34989;&#30340;&#27877;&#28525;&#65292;&#22909;&#22312;&#36817;&#24180;&#36234;&#26469;&#36234;&#22810;&#30340;&#33258;&#20027;&#21697;&#29260;&#37117;&#24930;&#24930;&#36208;&#19978;&#20102;&#21407;&#21019;&#35774;&#35745;&#30340;&#36947;&#36335;&#12290;&#20170;&#22825;&#20026;&#22823;&#23478;&#21015;&#20030;&#30340;&#20960;&#27454;SUV&#23601;&#26159;&#21407;&#21019;&#35774;&#35745;&#20013;&#27604;&#36739;&#20986;&#24425;&#30340;&#36710;&#22411;&#65292;&#23427;&#20204;&#26377;&#30340;&#26159;&#36824;&#26410;&#19978;&#24066;&#30340;&#26032;&#36710;&#65292;&#26377;&#30340;&#26159;&#24050;&#32463;&#28909;&#38144;&#20102;&#19968;&#38453;&#23376;&#30340;&#32769;&#23558;&#65292;&#20294;&#22312;&#35774;&#35745;&#26041;&#38754;&#32477;&#23545;&#37117;&#26159;&#23454;&#21147;&#27966;&#12290;</p>
            ",0.058064516,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[1],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[1]']"
2,　　领克01,0,0,0,0,4,1,"<p class=""one-p"">&#12288;&#12288;&#39046;&#20811;01</p>
            ",0.077419355,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[3],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[3]']"
3,　　领克01的设计是从一张白纸出发的，整个设计团队来自瑞典哥德堡，团队成员由22名不同国家的设计师组成，他们从全球年轻人群的生活方式中获得灵感，领克01诠释了“都市对立美学”，所主张的设计理念为外表坚强却内心柔软，忠于自我也依赖群体、渴望亲近的表达又保持安全的距离。,6,1,0,0,131,1,"<p class=""one-p"">&#12288;&#12288;&#39046;&#20811;01&#30340;&#35774;&#35745;&#26159;&#20174;&#19968;&#24352;&#30333;&#32440;&#20986;&#21457;&#30340;&#65292;&#25972;&#20010;&#35774;&#35745;&#22242;&#38431;&#26469;&#33258;&#29790;&#20856;&#21733;&#24503;&#22561;&#65292;&#22242;&#38431;&#25104;&#21592;&#30001;22&#21517;&#19981;&#21516;&#22269;&#23478;&#30340;&#35774;&#35745;&#24072;&#32452;&#25104;&#65292;&#20182;&#20204;&#20174;&#20840;&#29699;&#24180;&#36731;&#20154;&#32676;&#30340;&#29983;&#27963;&#26041;&#24335;&#20013;&#33719;&#24471;&#28789;&#24863;&#65292;&#39046;&#20811;01&#35808;&#37322;&#20102;&#8220;&#37117;&#24066;&#23545;&#31435;&#32654;&#23398;&#8221;&#65292;&#25152;&#20027;&#24352;&#30340;&#35774;&#35745;&#29702;&#24565;&#20026;&#22806;&#34920;&#22362;&#24378;&#21364;&#20869;&#24515;&#26580;&#36719;&#65292;&#24544;&#20110;&#33258;&#25105;&#20063;&#20381;&#36182;&#32676;&#20307;&#12289;&#28212;&#26395;&#20146;&#36817;&#30340;&#34920;&#36798;&#21448;&#20445;&#25345;&#23433;&#20840;&#30340;&#36317;&#31163;&#12290;</p>
            ",0.090322581,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[4],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[4]']"
4,　　外观方面，领克01的整体造型非常时尚，车头采用了时下比较流行的分体式大灯设计，大尺寸前格栅与车头大灯相连，整体造型具有一定的辨识度。新车在尾部采用了家族化的“能量晶体”式尾灯，造型极具特点。下方的银色护板和双边共两出的排气给整车带来了一定的运动感。,5,3,0,0,124,1,"<p class=""one-p"">&#12288;&#12288;&#22806;&#35266;&#26041;&#38754;&#65292;&#39046;&#20811;01&#30340;&#25972;&#20307;&#36896;&#22411;&#38750;&#24120;&#26102;&#23578;&#65292;&#36710;&#22836;&#37319;&#29992;&#20102;&#26102;&#19979;&#27604;&#36739;&#27969;&#34892;&#30340;&#20998;&#20307;&#24335;&#22823;&#28783;&#35774;&#35745;&#65292;&#22823;&#23610;&#23544;&#21069;&#26684;&#26629;&#19982;&#36710;&#22836;&#22823;&#28783;&#30456;&#36830;&#65292;&#25972;&#20307;&#36896;&#22411;&#20855;&#26377;&#19968;&#23450;&#30340;&#36776;&#35782;&#24230;&#12290;&#26032;&#36710;&#22312;&#23614;&#37096;&#37319;&#29992;&#20102;&#23478;&#26063;&#21270;&#30340;&#8220;&#33021;&#37327;&#26230;&#20307;&#8221;&#24335;&#23614;&#28783;&#65292;&#36896;&#22411;&#26497;&#20855;&#29305;&#28857;&#12290;&#19979;&#26041;&#30340;&#38134;&#33394;&#25252;&#26495;&#21644;&#21452;&#36793;&#20849;&#20004;&#20986;&#30340;&#25490;&#27668;&#32473;&#25972;&#36710;&#24102;&#26469;&#20102;&#19968;&#23450;&#30340;&#36816;&#21160;&#24863;&#12290;</p>
            ",0.109677419,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[6],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[6]']"
5,　　内饰方面，领克01的整体内饰采用了简洁的北欧风设计，中控台向驾驶员一侧倾斜。车内采用黑色和白色的双色拼接设计。配置方面，新车将配有全液晶仪表盘、10.2英寸中控屏、车载互联系统、电子档把、全景天窗、后排出风口以及防碰撞预警、主动刹车、行人识别、盲点监测等一系列主动安全系统。,3,3,0,0,137,1,"<p class=""one-p"">&#12288;&#12288;&#20869;&#39280;&#26041;&#38754;&#65292;&#39046;&#20811;01&#30340;&#25972;&#20307;&#20869;&#39280;&#37319;&#29992;&#20102;&#31616;&#27905;&#30340;&#21271;&#27431;&#39118;&#35774;&#35745;&#65292;&#20013;&#25511;&#21488;&#21521;&#39550;&#39542;&#21592;&#19968;&#20391;&#20542;&#26012;&#12290;&#36710;&#20869;&#37319;&#29992;&#40657;&#33394;&#21644;&#30333;&#33394;&#30340;&#21452;&#33394;&#25340;&#25509;&#35774;&#35745;&#12290;&#37197;&#32622;&#26041;&#38754;&#65292;&#26032;&#36710;&#23558;&#37197;&#26377;&#20840;&#28082;&#26230;&#20202;&#34920;&#30424;&#12289;10.2&#33521;&#23544;&#20013;&#25511;&#23631;&#12289;&#36710;&#36733;&#20114;&#32852;&#31995;&#32479;&#12289;&#30005;&#23376;&#26723;&#25226;&#12289;&#20840;&#26223;&#22825;&#31383;&#12289;&#21518;&#25490;&#20986;&#39118;&#21475;&#20197;&#21450;&#38450;&#30896;&#25758;&#39044;&#35686;&#12289;&#20027;&#21160;&#21049;&#36710;&#12289;&#34892;&#20154;&#35782;&#21035;&#12289;&#30450;&#28857;&#30417;&#27979;&#31561;&#19968;&#31995;&#21015;&#20027;&#21160;&#23433;&#20840;&#31995;&#32479;&#12290;</p>
            ",0.141935484,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[10],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[10]']"
6,　　动力方面，领克01将搭载代号为GB15T的1.5T三缸发动机以及代号为B4204T30并提供高低功率调校的2.0T四缸发动机。其中1.5T发动机最大功率132kW，峰值扭矩265Nm。传动系统方面，与发动机匹配将是6速手动、6速自动以及7速双离合变速器。,3,3,0,0,127,1,"<p class=""one-p"">&#12288;&#12288;&#21160;&#21147;&#26041;&#38754;&#65292;&#39046;&#20811;01&#23558;&#25645;&#36733;&#20195;&#21495;&#20026;GB15T&#30340;1.5T&#19977;&#32568;&#21457;&#21160;&#26426;&#20197;&#21450;&#20195;&#21495;&#20026;B4204T30&#24182;&#25552;&#20379;&#39640;&#20302;&#21151;&#29575;&#35843;&#26657;&#30340;2.0T&#22235;&#32568;&#21457;&#21160;&#26426;&#12290;&#20854;&#20013;1.5T&#21457;&#21160;&#26426;&#26368;&#22823;&#21151;&#29575;132kW&#65292;&#23792;&#20540;&#25197;&#30697;265Nm&#12290;&#20256;&#21160;&#31995;&#32479;&#26041;&#38754;&#65292;&#19982;&#21457;&#21160;&#26426;&#21305;&#37197;&#23558;&#26159;6&#36895;&#25163;&#21160;&#12289;6&#36895;&#33258;&#21160;&#20197;&#21450;7&#36895;&#21452;&#31163;&#21512;&#21464;&#36895;&#22120;&#12290;</p>
            ",0.167741935,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[13],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[13]']"
7,　　荣威RX5,0,0,0,0,5,1,"<p class=""one-p"">&#12288;&#12288;&#33635;&#23041;RX5</p>
            ",0.187096774,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[15],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[15]']"
8,　　指导价：9.98-18.68万元,0,0,0,0,16,1,"<p class=""one-p"">&#12288;&#12288;&#25351;&#23548;&#20215;&#65306;9.98-18.68&#19975;&#20803;</p>
            ",0.2,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[16],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[16]']"
9,　　荣威RX5在上市之初就打出了YunOS互联网SUV的大旗，再加上出色的造型设计让它抢尽了风头，这款车无论外观还是内饰都没什么硬伤，没毛病就是最大的优点。而且更为难得的是，荣威可以说是少有的能与合资品牌相抗衡的自主品牌。,4,2,0,0,109,1,"<p class=""one-p"">&#12288;&#12288;&#33635;&#23041;RX5&#22312;&#19978;&#24066;&#20043;&#21021;&#23601;&#25171;&#20986;&#20102;YunOS&#20114;&#32852;&#32593;SUV&#30340;&#22823;&#26071;&#65292;&#20877;&#21152;&#19978;&#20986;&#33394;&#30340;&#36896;&#22411;&#35774;&#35745;&#35753;&#23427;&#25250;&#23613;&#20102;&#39118;&#22836;&#65292;&#36825;&#27454;&#36710;&#26080;&#35770;&#22806;&#35266;&#36824;&#26159;&#20869;&#39280;&#37117;&#27809;&#20160;&#20040;&#30828;&#20260;&#65292;&#27809;&#27611;&#30149;&#23601;&#26159;&#26368;&#22823;&#30340;&#20248;&#28857;&#12290;&#32780;&#19988;&#26356;&#20026;&#38590;&#24471;&#30340;&#26159;&#65292;&#33635;&#23041;&#21487;&#20197;&#35828;&#26159;&#23569;&#26377;&#30340;&#33021;&#19982;&#21512;&#36164;&#21697;&#29260;&#30456;&#25239;&#34913;&#30340;&#33258;&#20027;&#21697;&#29260;&#12290;</p>
            ",0.212903226,92,/html/body/div/div[2]/div[1]/div[1]/div[2]/p[17],1,8,"['html', 'body', 'div', 'div[2]', 'div[1]', 'div[1]', 'div[2]', 'p[17]']"
